0,1,2,3,4,5
86.21,44.95,88.19,76.48,84.54,45.85
86.64,45.33,87.4,76.65,85.31,46.4
86.94,45.3,87.94,77.2,84.9,46.4
87.02,45.4,88.03,76.66,83.73,46.0
87.73,45.85,89.3,77.72,84.78,46.34
88.02,45.89,90.29,78.34,85.04,46.44
88.43,45.95,89.86,78.77,85.39,46.66
89.17,46.1,89.43,79.11,85.81,47.22
89.12,45.87,89.97,78.58,86.16,47.26
89.8,45.96,90.59,79.37,85.76,47.31
89.94,45.83,91.3,79.63,86.33,47.6
89.91,46.16,91.31,79.47,86.78,47.25
89.53,46.04,92.39,79.88,85.61,47.43
89.76,46.22,92.31,80.51,85.5,47.76
90.06,45.89,92.2,79.8,85.97,48.27
90.51,45.93,93.32,79.93,86.75,48.65
90.61,45.88,94.1,79.76,86.81,49.3
90.4,45.65,94.31,79.81,86.17,49.42
90.34,45.91,95.31,80.17,85.56,49.46
89.53,45.7,95.48,79.44,85.09,49.16
89.93,45.44,95.95,79.18,85.1,49.14
89.76,45.56,95.89,78.0,85.46,48.87
89.98,45.95,95.94,78.17,86.01,49.34
90.9,46.38,96.32,79.21,86.86,49.21
90.64,46.26,97.34,80.51,86.66,49.19
90.69,46.4,97.96,81.41,87.47,49.36
90.87,46.48,98.4,81.49,86.94,49.48
89.88,46.67,96.49,81.74,86.38,48.76
90.63,46.75,98.18,82.34,86.53,48.84
89.97,46.36,97.59,82.29,86.46,48.44
90.39,46.4,98.29,82.0,87.38,48.66
90.09,46.6,98.89,81.75,87.8,48.81
90.8,47.21,99.61,81.89,87.91,49.77
90.24,46.6,99.42,82.49,87.6,49.6
90.3,46.77,99.93,83.35,89.05,49.83
90.53,46.52,99.2,82.22,88.55,49.46
90.08,46.35,98.96,81.93,87.88,49.3
89.98,46.69,99.03,82.74,88.59,49.64
89.96,46.58,98.5,82.08,86.88,49.27
90.09,46.78,97.84,82.87,87.12,49.08
90.02,46.61,99.21,84.27,87.27,49.08
89.49,46.53,97.83,83.9,86.58,48.6
89.61,46.27,99.22,83.76,86.76,48.75
89.06,46.06,98.72,85.11,87.19,48.15
89.69,46.44,98.72,85.52,87.19,48.54
89.7,46.24,99.32,85.06,87.38,48.55
91.05,46.46,99.8,86.05,85.9,48.88
91.08,46.65,100.16,85.94,85.31,47.11
90.97,46.64,100.74,85.68,85.46,47.19
86.32,45.64,99.81,84.68,85.31,45.9
86.09,45.82,99.83,85.75,84.83,46.13
86.14,45.1,99.42,84.27,84.24,46.25
86.09,45.85,101.05,82.95,84.92,46.25
84.36,45.0,98.98,81.05,82.82,45.02
84.39,44.71,100.44,82.27,82.61,46.04
84.39,44.78,100.44,82.27,83.1,46.24
83.21,44.35,98.59,80.99,82.87,46.21
83.56,44.83,98.77,81.5,82.98,46.65
83.48,44.94,97.84,79.26,82.35,45.57
84.56,44.97,99.92,80.12,84.24,45.97
84.87,45.14,100.14,79.87,84.09,46.27
84.98,45.18,99.03,80.22,83.88,46.58
85.87,45.61,99.12,81.51,84.16,47.02
85.24,45.81,97.53,81.82,85.55,47.08
84.59,45.62,98.9,81.47,85.12,47.37
85.51,46.3,97.9,82.34,86.14,47.03
86.02,46.26,99.28,83.47,86.56,47.05
86.29,46.35,99.4,83.43,87.12,47.59
86.93,46.69,100.07,83.77,87.7,47.79
86.69,46.75,98.81,83.78,87.85,47.765
87.4,46.99,100.16,84.24,88.28,47.71
87.08,46.68,100.26,85.12,87.48,47.82
86.83,47.13,99.97,86.38,87.8,47.66
86.91,47.09,100.19,86.34,87.45,48.02
87.16,47.23,101.1,86.68,87.74,48.83
87.7,47.07,100.53,86.39,87.99,48.775
87.79,46.68,100.75,86.79,87.48,48.57
87.98,46.46,100.15,87.06,87.86,48.62
87.53,46.3,100.99,87.75,88.24,48.85
87.48,46.56,99.75,87.91,87.76,48.97
86.47,46.06,99.49,88.56,86.99,48.61
86.71,46.22,99.14,87.25,87.54,48.29
86.84,46.03,98.84,87.08,87.27,48.38
87.08,45.73,96.97,86.18,88.62,47.67
87.3,45.57,97.97,86.03,88.4,47.31
87.01,45.43,99.18,87.16,89.08,48.06
86.99,45.51,98.9,86.99,88.98,48.41
87.9,45.46,97.73,87.63,89.44,49.185
86.92,45.2,97.51,87.8,89.23,48.43
86.5,44.79,96.29,87.77,88.69,48.0
86.27,44.78,96.02,86.59,87.72,47.5
87.29,45.46,96.0,88.21,88.72,47.78
86.3,44.76,95.18,86.18,87.41,47.35
87.19,45.45,96.17,86.6,88.17,47.6
87.51,45.07,96.21,86.51,88.07,47.52
87.67,45.36,94.32,86.25,87.71,47.23
86.65,44.82,91.59,84.88,86.58,46.07
86.86,44.76,91.32,84.9,87.09,46.28
87.58,45.48,90.72,86.02,88.22,46.13
87.27,45.76,89.88,85.09,87.83,45.98
85.43,44.95,88.46,84.19,86.5,44.925
83.48,45.33,82.54,86.62,88.29,46.2
81.27,44.82,84.6,84.94,86.52,45.54
80.45,44.81,82.54,85.39,87.11,39.955
79.55,44.17,77.78,83.95,85.98,38.69
80.05,44.3,75.91,82.82,86.89,38.21
80.0,44.14,76.34,82.16,87.25,37.73
79.93,43.89,78.04,85.39,88.05,39.19
80.97,44.62,78.61,88.18,88.55,38.39
80.2,44.88,79.71,88.54,89.44,39.12
81.93,45.26,81.34,90.95,92.72,40.59
81.68,45.3,80.0,89.77,92.73,39.97
81.58,45.37,82.22,90.66,92.8,40.34
82.38,45.8,82.35,91.64,93.19,41.04
82.48,45.97,80.31,92.13,93.22,41.17
83.49,46.25,81.95,92.64,94.36,41.88
82.85,47.41,83.17,95.8,94.06,42.22
90.38,47.9,82.46,93.88,95.36,41.09
86.0,47.7,84.81,95.01,97.08,43.11
87.18,47.93,83.26,94.86,97.14,43.21
88.45,47.91,81.44,94.98,97.83,42.88
88.67,48.18,83.17,95.8,98.79,43.585
89.18,48.08,83.71,96.21,98.59,43.51
89.82,48.1,84.86,93.61,99.13,43.14
90.71,48.26,83.81,94.75,99.59,43.49
90.18,48.18,83.81,95.69,99.66,43.38
90.38,47.9,82.46,95.68,100.59,43.38
89.91,47.92,81.1,95.9,100.54,42.89
89.85,47.74,83.03,95.11,99.68,43.36
90.47,47.92,81.24,96.47,99.92,43.655
90.59,47.81,81.9,98.19,100.12,44.025
90.39,47.73,82.37,96.86,100.2,43.15
90.32,47.81,83.59,96.85,100.66,43.24
91.39,47.85,85.21,96.71,101.42,43.78
92.31,47.97,84.67,96.9,102.15,44.06
91.93,48.06,82.31,97.9,101.52,44.12
91.8,48.04,80.83,98.11,101.84,45.05
92.49,47.95,72.93,98.63,102.78,45.15
92.42,47.63,73.97,99.06,101.76,44.73
92.62,47.98,75.13,99.83,102.49,44.65
93.76,48.15,76.81,100.8,103.45,46.59
94.64,48.65,76.29,99.67,103.65,46.02
95.1,48.63,75.72,100.33,103.25,46.29
97.6,48.84,71.31,99.92,102.78,45.285
97.19,48.47,72.18,101.02,102.79,45.41
96.32,47.61,68.58,99.09,101.93,44.48
96.29,47.8,67.86,99.73,103.27,44.69
95.01,47.02,66.53,98.76,102.46,43.7
94.86,46.57,65.45,98.27,101.65,43.13
94.51,46.28,66.23,95.85,102.31,43.1
95.65,46.91,69.03,99.14,103.9,43.71
96.7,47.43,70.55,102.24,105.47,45.16
96.69,47.42,74.5,102.49,105.88,45.28
97.04,47.59,73.76,103.04,106.46,45.64
96.67,47.48,75.36,102.85,107.83,45.79
96.52,47.45,74.37,102.68,107.62,45.84
96.26,47.48,74.31,102.55,107.86,45.71
95.93,47.51,74.82,102.33,108.31,45.52
96.23,47.84,74.13,102.85,107.75,45.22
94.83,47.08,73.82,101.09,106.57,45.11
94.33,46.98,74.14,100.78,106.52,44.87
93.42,46.7,70.55,99.12,105.84,43.87
92.86,46.61,69.46,98.92,101.5,43.02
93.92,47.06,69.3,99.93,103.05,43.26
95.3,47.88,71.38,104.7,103.27,44.64
94.78,47.23,71.12,103.72,101.37,44.52
93.44,47.08,68.43,102.55,97.52,44.03
93.83,47.31,67.69,103.07,97.08,43.97
93.69,46.98,69.24,103.33,95.28,45.01
93.55,46.7,67.92,104.46,95.08,44.46
95.56,46.18,70.02,105.77,97.1,44.84
94.67,45.58,69.57,105.62,97.47,45.26
94.55,45.34,71.41,109.32,97.76,46.17
95.7,46.17,72.07,113.85,98.58,46.54
94.42,45.51,70.83,112.0,98.4,46.52
94.17,45.7,71.65,111.61,98.65,46.79
93.34,45.32,71.61,110.01,97.52,45.79
91.09,44.93,66.02,108.46,95.42,45.71
91.18,45.09,65.7,109.39,95.42,45.85
90.05,44.43,67.49,106.25,92.94,45.1
91.85,45.16,70.08,107.29,93.44,44.765
92.77,45.63,72.68,107.81,97.92,45.585
93.12,46.32,72.01,107.92,95.5,46.33
93.72,46.45,73.17,108.82,95.95,49.04
96.42,46.32,72.97,107.6,96.59,48.64
96.64,46.0,73.78,106.49,96.08,47.88
98.19,46.24,72.79,108.97,96.52,48.88
100.08,46.82,72.8,109.85,96.42,48.865
100.74,47.23,74.71,109.84,96.79,49.98
100.56,47.5,76.83,109.44,97.01,50.71
100.71,48.0,77.34,109.76,96.61,50.91
100.56,48.34,77.1,109.77,95.55,50.71
100.28,48.5,76.48,110.03,95.71,50.53
100.34,48.55,76.3,112.62,96.28,50.925
100.51,47.87,75.87,116.4,96.42,50.62
100.59,47.6,76.49,115.43,96.38,51.53
100.45,47.28,76.65,114.05,96.78,51.35
100.22,47.32,75.43,113.66,96.53,51.465
100.36,46.99,75.08,113.63,96.08,51.27
100.24,46.95,74.11,114.4,96.94,52.41
99.92,46.81,74.49,112.86,95.51,51.43
99.63,46.54,74.84,113.82,94.04,51.48
100.23,46.46,73.5,114.79,94.23,50.88
98.79,45.81,71.39,112.88,92.91,50.75
98.93,46.08,70.42,114.9,93.89,51.33
96.02,45.64,69.24,112.46,92.36,49.53
96.43,46.17,69.6,112.72,92.33,49.015
98.28,46.92,68.77,114.88,94.72,49.69
96.88,46.5,69.0,115.25,94.47,49.52
98.75,47.44,69.33,118.52,96.0,50.43
98.5,47.48,68.53,117.6,94.65,49.73
99.53,47.74,69.77,119.96,95.24,50.21
98.91,47.59,67.4,120.76,95.53,50.3
99.3,47.64,68.34,119.14,95.93,50.87
99.09,47.4,67.82,119.04,95.59,50.375
98.18,47.06,68.08,118.12,94.57,49.62
95.95,46.31,69.1,116.54,92.85,48.09
96.03,46.63,68.9,116.25,92.33,48.21
95.87,46.8,67.37,118.01,92.93,49.205
98.1,47.41,68.56,121.0,93.86,49.89
96.12,46.75,67.87,118.29,93.19,48.9
96.23,46.73,69.18,117.45,91.75,48.31
96.63,46.86,69.2,117.36,92.73,48.18
97.83,47.13,72.53,117.7,93.27,48.32
97.32,46.83,72.35,117.35,93.32,48.925
98.64,47.34,71.85,118.19,92.85,48.915
98.42,47.37,72.38,118.55,92.91,49.4
98.25,47.65,73.12,119.0,93.27,50.0
98.62,47.71,72.72,119.37,92.83,49.53
98.58,47.94,74.63,119.92,92.67,48.8
98.48,47.78,78.09,117.32,92.54,50.11
97.62,47.98,78.02,121.6,92.11,50.26
96.17,47.66,77.46,118.71,91.67,49.2
97.4,47.91,77.68,118.58,92.57,49.61
97.1,47.66,74.94,119.28,92.45,49.225
97.2,47.71,75.28,117.81,93.02,49.3
97.41,47.76,75.8,118.26,93.13,48.57
97.84,49.06,75.21,118.69,91.99,47.33
97.92,48.53,75.22,116.24,91.46,47.35
98.06,48.67,76.75,117.59,91.34,47.94
97.88,48.55,77.97,113.61,90.94,47.62
96.23,47.83,76.9,111.4,89.85,47.655
98.42,47.92,75.78,113.2,91.47,48.59
98.8,47.71,74.69,114.56,92.83,48.84
97.69,47.19,73.9,113.37,91.81,47.54
97.38,47.5,74.47,113.49,91.64,47.105
97.91,47.74,73.46,114.76,92.59,47.41
99.89,47.86,74.34,115.68,94.08,48.97
100.19,47.83,71.69,114.77,94.21,49.385
99.11,47.79,71.5,114.64,94.01,49.09
98.63,48.29,70.25,115.86,92.69,49.655
99.98,48.36,69.41,118.53,94.04,49.85
99.55,48.02,69.66,119.33,93.84,49.255
101.05,48.35,68.89,119.8,93.76,48.98
101.43,48.7,67.7,120.55,93.7,48.32
102.21,49.5,69.55,121.24,93.74,48.68
102.36,49.18,69.94,120.46,93.57,48.39
102.89,49.22,69.02,119.59,93.54,48.4
102.15,49.09,67.31,118.24,92.58,47.76
102.97,49.09,67.22,119.45,92.87,48.5
102.9,48.8,67.29,119.62,92.41,48.88
101.22,48.45,67.52,120.21,90.47,49.13
